Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",189.500000,-80.000000,90.000000,top
"C2","0.047u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",227.575882,-99.768616,90.000000,top
"C3","0.047u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",243.223947,-107.906116,-90.000000,top
"C4","100n","C_0402_1005Metric",178.500000,-88.480000,-90.000000,top
"C5","1u","C_0402_1005Metric",189.058158,-86.365727,0.000000,top
"C6","100n","C_0402_1005Metric",184.450900,-77.540678,90.000000,top
"C7","100n","C_0402_1005Metric",190.000000,-82.303593,0.000000,top
"C8","1u","C_0402_1005Metric",189.065274,-87.695038,0.000000,top
"C9","100n","C_0402_1005Metric",193.000000,-91.980000,-90.000000,top
"C10","100n","C_0402_1005Metric",187.000000,-87.980000,-90.000000,top
"C11","100n","C_0402_1005Metric",182.033507,-77.529450,90.000000,top
"C12","100n","C_0402_1005Metric",188.500000,-89.980000,-90.000000,top
"C13","100n","C_0402_1005Metric",185.500000,-88.000000,-90.000000,top
"C14","100n","C_0402_1005Metric",191.500000,-91.000000,-90.000000,top
"C15","100n","C_0402_1005Metric",190.000000,-91.000000,-90.000000,top
"C16","27p","C_0402_1005Metric",175.303123,-81.441093,90.000000,top
"C17","27p","C_0402_1005Metric",172.303123,-84.941093,0.000000,top
"C18","10u","C_0805_2012Metric",207.303123,-77.941093,180.000000,top
"C19","47u","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",155.178123,-98.941093,0.000000,top
"C20","10u","C_0805_2012Metric",204.353123,-87.441093,0.000000,top
"C21","100n","C_0402_1005Metric",188.000000,-67.500000,180.000000,top
"D1","CUS10S30,H3F","D_SOD-323",150.803123,-100.441093,-90.000000,top
"D2","CUS10S30,H3F","D_SOD-323",201.303123,-87.941093,90.000000,top
"J1","Stick_To_Mobo","FPC-SMD_6P-P1.00_HDGC_1.0K-LS-6PWB_Fixed",251.826660,-118.000000,90.000000,top
"J2","USB_B_Mini","MINI-USB-TH_C13453",195.440472,-72.891093,180.000000,top
"J5","N64_Intf","CONN3_B3B-EH-ALFSN_JST",154.000000,-105.642772,180.000000,top
"J6","Mobo_To_Stick","FPC-SMD_6P-P1.00_HDGC_1.0K-LS-6PWB_Fixed",188.966123,-103.600298,90.000000,top
"R1","27","R_0402_1005Metric",189.040623,-83.741093,0.000000,top
"R2","27","R_0402_1005Metric",189.048791,-85.070061,180.000000,top
"R3","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",246.045016,-109.906116,90.000000,top
"R4","2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",230.697031,-98.586081,180.000000,top
"R5","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.803123,-66.941093,0.000000,top
"R6","1k","R_0402_1005Metric",175.303123,-83.500000,-90.000000,top
"R7","1k","R_0402_1005Metric",168.000000,-76.000000,180.000000,top
"S1","BOOTSEL","SW_TS-1187A-B-A-B",164.500000,-81.375000,180.000000,top
"U1","DRV5055A3xDBZxQ1","SOT-23",242.253660,-111.858700,180.000000,top
"U2","DRV5055A3xDBZxQ1","SOT-23",232.576660,-102.100000,-90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",182.103123,-82.741093,-90.000000,top
"U4","MCP3202","SOIC-8_3.9x4.9mm_P1.27mm",221.223947,-112.906116,-90.000000,top
"U6","USBLC6-2P6","SOT-666",194.303123,-78.291093,-90.000000,top
"U7","AMS1117-3.3","SOT-223-3_TabPin2",201.303123,-81.441093,-90.000000,top
"U8","W25Q128JVPIQ","WSON-8_6X5_WIN",185.500000,-72.300000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",172.303123,-82.441093,0.000000,top
